Board UID,7.21E+21,,,,,,,,,,,,,,,,,,,,,,,
Date-Time,ax[0](mg),ay[0](mg),az[0](mg),gx[0](dps),gy[0](dps),gz[0](dps),mx[0](uT),my[0](uT),mz[0](uT),Yaw[0](deg),Pitch[0](deg),Roll[0](deg),ax[1](mg),ay[1](mg),az[1](mg),gx[1](dps),gy[1](dps),gz[1](dps),mx[1](uT),my[1](uT),mz[1](uT),Yaw[1](deg),Pitch[1](deg),Roll[1](deg)
12:00:00 AM,63.3,963.5,271.7,-3,4.7,3.5,-6.2,54.3,3.5,151.42,74.64,-4.8,-984.2,-94.4,-107.7,0.1,1,-0.9,49.8,-17,-4.7,60.02,-5.9,97.18
12:00:01 AM,69,961.3,270.2,-2.5,4.2,3.8,-6.5,53.7,3.3,151.32,74.64,-4.9,-983.7,-94.7,-105,1.1,0.7,-1.2,49.8,-17.7,-3.6,60.02,-5.92,97.2
12:00:02 AM,74.5,962.5,268.8,-3.1,4.5,3.2,-6.5,54,3.2,151.24,74.64,-4.98,-984.2,-98.8,-106.4,-1.7,1,-0.1,49.1,-17.3,-3.8,60,-5.94,97.2
12:00:03 AM,69.7,965.6,262.3,-3.3,4.3,3.3,-6.5,53.9,2.4,151.3,74.64,-4.94,-980.9,-99.9,-105,2.5,1.7,0.3,49.2,-16.8,-3.8,59.98,-5.94,97.18
12:00:04 AM,75.6,962,268.2,-3.5,4.8,2.7,-6.3,54.9,2.7,151.2,74.64,-5.02,-983.7,-97.5,-108.8,2.9,1.9,0.9,49.4,-16.8,-4.1,60,-5.94,97.2
12:00:05 AM,73.6,961.8,264.4,-3.6,4.6,3.1,-7.2,54.8,3,151.16,74.62,-5.04,-981.2,-96.1,-103.6,2.5,1.7,0.6,49.5,-17,-3.9,60.02,-5.94,97.18
12:00:06 AM,74.2,963.3,268.5,-3.5,4.8,3.2,-6.2,54.2,3,151.16,74.64,-5.02,-982.2,-95.6,-106.3,1.8,1.6,0.5,49.1,-17.1,-4.4,60.06,-5.92,97.18
12:00:07 AM,70.5,965.6,271.6,-3.8,5.1,3.2,-5.7,54.2,3,151.3,74.66,-4.88,-985.6,-93.7,-107.4,2.9,2.1,0.6,49.5,-17,-3.8,60.04,-5.94,97.2
12:00:08 AM,61.9,966.8,278,-3.3,4.6,3.3,-6.6,54.3,3.2,151.32,74.62,-4.86,-992,-85.6,-109.6,0.3,1.4,-0.4,48.9,-17.1,-3.8,60.02,-5.92,97.22
12:00:09 AM,66.4,964.7,280.4,-2.9,4.6,3.5,-6.5,54.2,2.2,151.28,74.62,-4.9,-990.7,-84.5,-112.5,0.2,1.1,-0.6,48.9,-17,-3.8,60.06,-5.92,97.2
12:00:10 AM,70.7,966.5,273.7,-3.2,4.8,3.6,-6.5,54.5,3.5,151.2,74.62,-4.96,-988.1,-88.9,-108,0.9,1.6,-0.5,49.4,-16.8,-3.8,60.06,-5.92,97.18
12:00:11 AM,71.4,974.2,269.7,-3.3,4.6,3.3,-6.3,54,3.3,151.24,74.64,-4.92,-990.3,-94.8,-105,1.2,2,0.3,49.8,-17.3,-3.3,60.04,-5.92,97.18
12:00:12 AM,69,971.3,272.2,-3.8,4.8,3,-5.7,54.5,2.7,151.34,74.64,-4.84,-993,-95.2,-106.8,1.8,1.8,0.7,49.4,-17,-3.6,60.04,-5.92,97.2
12:00:13 AM,68.8,973.8,271.3,-3.6,4.7,2.9,-6.5,53.9,3.9,151.44,74.66,-4.74,-993.8,-90.6,-106.1,3,1.9,1,49.1,-17,-3.8,60.06,-5.94,97.2
12:00:14 AM,68.2,974.6,275,-4,4.8,2.3,-6.3,54.5,2.9,151.34,74.64,-4.84,-996.3,-90.3,-106.3,1.4,1.8,1.6,48.9,-17.6,-3.8,60.02,-5.98,97.26
12:00:15 AM,67.4,972.9,281.2,-4.6,5.1,1.9,-6.3,54.5,2.9,151.28,74.64,-4.9,-1001,-90,-110.9,1.6,2.2,2.7,49.2,-16.8,-4.2,60.04,-5.94,97.22
12:00:16 AM,65.4,973.1,286.2,-4.8,5.3,1.9,-6,54.5,3.3,151.26,74.64,-4.92,-1001.7,-83.9,-112.9,3,2.8,2.9,49.2,-17.1,-4.1,60.04,-5.96,97.24
12:00:17 AM,66.3,972.2,283.4,-4.5,5.1,2.4,-6.5,54.6,3,151.24,74.64,-4.92,-997.9,-84.7,-111.4,3.9,3.1,2.5,48.9,-16.1,-3.8,60.06,-5.96,97.22
12:00:18 AM,59.2,974.3,279.6,-3.5,4.6,2.8,-6.2,53.9,3.5,151.5,74.64,-4.68,-999.5,-82.9,-109.5,1.4,1.4,0.8,49.4,-17.1,-3.9,60.04,-5.92,97.22
12:00:19 AM,63.4,968.4,282.5,-3,4.3,3.2,-6.8,54.6,3.2,151.46,74.64,-4.74,-992.4,-84.2,-107.8,0.4,1.1,0,49.8,-17,-3.5,60.06,-5.92,97.2
12:00:20 AM,69.4,964.6,279.3,-3.3,4.5,3.3,-6.5,54,3.3,151.42,74.64,-4.78,-989.7,-90.7,-110.2,0.7,1.4,0.3,49.1,-17.3,-4.2,60.04,-5.94,97.22
12:00:21 AM,70.8,972.2,272.4,-4,5,2.8,-5.9,54,3.3,151.32,74.66,-4.88,-995.2,-95,-108.6,1.4,2.1,1.5,49.7,-17.3,-3.8,60.02,-5.94,97.2
12:00:22 AM,69.8,974,274.3,-4.4,5.2,2.3,-6.8,54.5,2.6,151.24,74.66,-4.94,-998.1,-92.7,-108.1,2.9,2.7,2.4,49.2,-17.4,-3.6,60.02,-5.96,97.22
12:00:23 AM,67.4,965.7,279,-4,4.6,2.7,-6,54.5,3,151.32,74.64,-4.88,-989.5,-89,-108.8,0.8,2.1,1.6,50,-17.4,-3.6,60.02,-5.96,97.24
12:00:24 AM,63.7,959.2,282.3,-3.1,4.3,3.2,-6.5,54,3,151.28,74.62,-4.92,-988.2,-85.6,-109.8,0.4,1,0,49.1,-17.3,-4.4,60.02,-5.9,97.2
12:00:25 AM,67.3,966.5,279.3,-3.2,4.5,3.7,-6.6,54.3,3.2,151.28,74.64,-4.9,-992.4,-86.3,-110.8,2,1.6,0.1,49.1,-17.4,-4.4,60.06,-5.92,97.2
12:00:26 AM,65.5,970.1,281.2,-3.4,4.7,3.4,-5.9,54.5,3.2,151.2,74.62,-5,-995.5,-86.1,-110.4,-1.1,1,0.6,49.1,-16.7,-3.9,60.02,-5.94,97.22
12:00:27 AM,62.6,962.8,283.6,-3.1,4.6,3.5,-5.7,54.3,3,151.28,74.62,-4.9,-990.2,-83.1,-109.6,-1.1,0.8,-0.2,49.1,-17.1,-4.1,60.04,-5.92,97.22
12:00:28 AM,65.3,958,280.5,-3,4.4,3.7,-6,54,3.2,151.5,74.64,-4.7,-986.9,-86.3,-110.3,-0.2,1.1,-0.3,49.7,-16.7,-3.6,60.04,-5.92,97.2
12:00:29 AM,66.9,961.5,280.8,-3.1,4.4,3.6,-6.6,54.3,2.9,151.34,74.64,-4.86,-988.4,-88.4,-112.8,-1.6,0.8,0.5,49.1,-17.4,-3.9,60.04,-5.92,97.2
12:00:30 AM,66.1,961.1,277.1,-3.2,4.8,3.6,-6.2,54.8,2.9,151.32,74.62,-4.88,-986.8,-91.7,-109.9,0.2,1.3,0.3,49.4,-17,-4.1,60.04,-5.92,97.2
12:00:31 AM,63.9,959.4,277.5,-2.9,4,3.4,-5.9,54.3,3.2,151.46,74.64,-4.74,-986.6,-90.6,-108.5,-0.9,0.4,-0.2,49.1,-17.3,-4.2,60.04,-5.88,97.16
12:00:32 AM,68,960.9,273,-3.1,4.6,3.6,-5.9,54.9,3.5,151.52,74.66,-4.7,-988,-94,-107.3,2.5,1.2,-0.1,48.9,-17.3,-3.6,60.02,-5.94,97.22
12:00:33 AM,71.4,959.3,278.2,-3.9,4.7,2.9,-6,54.3,3.9,151.64,74.66,-4.6,-989.3,-96.8,-110.3,-0.2,1.7,1.8,49.4,-16.7,-3.8,60.04,-5.94,97.2
12:00:34 AM,65.5,958.2,276.2,-3.7,4.9,2.9,-6.5,53.4,3.2,151.54,74.66,-4.72,-987,-92.5,-108.9,0.9,1.7,1.4,49.7,-17.1,-3.6,60.04,-5.92,97.18
12:00:35 AM,68.7,949.7,278.8,-3.4,4.7,3.2,-5.9,54.3,3.8,151.6,74.66,-4.66,-982.4,-89.7,-109.6,-1,0.8,1,49.2,-17.4,-3.9,60.08,-5.92,97.18
12:00:36 AM,64.3,954.2,274.1,-2.5,4.1,3.8,-6.3,54.6,3.6,151.56,74.64,-4.7,-979.6,-93.9,-106.2,-2,0.3,-0.6,49.2,-17.6,-4.1,60.02,-5.9,97.2
12:00:37 AM,67.8,949.9,279.3,-2.2,4.1,4.2,-6,54.5,4.4,151.7,74.66,-4.6,-979.9,-95,-111.8,-0.9,0.4,-1.1,49.4,-16.7,-3.6,60.06,-5.9,97.2
12:00:38 AM,68.1,952.3,275.2,-2.4,4.1,3.9,-5.9,54.5,2.7,151.6,74.64,-4.7,-980.9,-100.2,-108.6,-0.5,-0.1,-0.9,49.4,-17.1,-3.9,60.06,-5.92,97.2
12:00:39 AM,67.6,952.6,273.5,-2.8,4.4,3.7,-6.3,54,3,151.6,74.64,-4.72,-978.7,-101.4,-107.3,0.7,0.3,-0.2,49.1,-16.7,-3.9,60.04,-5.94,97.22
12:00:40 AM,71.1,956.1,269.4,-3.3,4.6,3.4,-6,54.3,3.3,151.64,74.66,-4.68,-982.6,-102.2,-104.6,0.8,1.4,0.8,49.5,-17.3,-3.8,60.06,-5.96,97.22
12:00:41 AM,69.7,954,275.7,-3.5,4.5,3,-6.8,54.2,3.2,151.48,74.64,-4.84,-983.6,-100.3,-108.1,-1.2,1.2,1.3,49.4,-17.4,-4.1,60.06,-5.96,97.22
12:00:42 AM,66.7,958.4,271.5,-3.3,4.6,3.2,-5.7,54.3,3.6,151.64,74.66,-4.7,-984.2,-102.4,-106.1,1.1,1,0.5,49.1,-17.3,-3.6,60.04,-5.96,97.22
12:00:43 AM,67.9,958.1,273.5,-3.5,4.3,2.9,-5.9,54.2,2.9,151.58,74.66,-4.76,-987.2,-99.2,-107.6,-1.1,0.4,1.3,49.4,-16.7,-3.8,60.02,-5.96,97.24
12:00:44 AM,68.9,963.8,273.2,-3.7,4.5,2.6,-6.9,53.7,2.7,151.44,74.64,-4.9,-988.9,-102.2,-106.5,2.6,1.5,1.9,49.5,-17,-4.4,60.02,-5.96,97.22
12:00:45 AM,66.4,960.8,276.6,-4.1,4.5,2.1,-6,54.2,3.3,151.54,74.64,-4.8,-989.8,-101.4,-107.5,1.9,1.2,2.2,49.4,-17.7,-3.8,60.06,-5.94,97.2
12:00:46 AM,66.7,960.4,276.8,-3.9,4.6,2.3,-6.3,54,3.2,151.56,74.66,-4.78,-987.7,-100.5,-109.7,3.7,1.7,2,49.5,-17.3,-4.2,60.08,-5.94,97.18
12:00:47 AM,66.6,962.5,275.2,-3.8,4.8,2.2,-6.2,53.9,3,151.62,74.64,-4.74,-989.2,-102.1,-107.8,-0.3,1.1,1.9,49.7,-16.8,-3.8,60.06,-5.94,97.2
12:00:48 AM,66.7,966.8,272,-3.6,4.8,2.7,-6.2,54.2,2.7,151.62,74.64,-4.74,-989.4,-101.1,-105.7,0.7,1.7,1.5,49.5,-16.4,-3.8,60.06,-5.92,97.18
12:00:49 AM,68,958.4,277.9,-3.5,4.4,2.4,-6.3,54.3,2.7,151.64,74.64,-4.72,-987,-100.9,-108.5,0.1,0.7,1.2,49.7,-17.1,-4.2,60.06,-5.94,97.2
12:00:50 AM,63.7,963.6,276.5,-3.4,4.4,2.8,-6.2,54.3,2.9,151.7,74.64,-4.68,-992.1,-101.3,-106.3,1.4,0.9,0.9,48.8,-17.3,-4.4,60.04,-5.92,97.2
12:00:51 AM,68.3,968.8,277.1,-3.7,4.4,2.4,-6,54.5,3.3,151.58,74.64,-4.78,-996.9,-102.9,-108.4,2,1,2,48.6,-16.5,-4.1,60.06,-5.96,97.22
12:00:52 AM,65.6,973.9,274.6,-4.3,4.6,2,-6.2,54,3.5,151.5,74.64,-4.86,-996.9,-100.6,-104.1,2.1,1.5,2.2,49.4,-17,-3.9,60.06,-5.96,97.2
12:00:53 AM,64.4,966.9,280.5,-4,4.6,2.3,-6.2,54.3,3.2,151.36,74.66,-4.98,-995.3,-97.4,-109.3,1.6,1.7,1.9,49.8,-16.8,-3.8,60.06,-6.04,97.2
12:00:54 AM,60.4,969.6,282.2,-3.5,4.6,2.7,-6.5,53.3,3.2,151.4,74.64,-4.96,-998.1,-96,-109.3,0.9,1.4,1.3,49.4,-16.7,-4.2,60.06,-5.98,97.18
12:00:55 AM,62.2,973.7,281.3,-3.2,4.1,2.9,-6.5,54.3,3.5,151.42,74.62,-4.92,-997.8,-96.1,-108.8,-0.4,0.6,0.9,49.4,-17.3,-3.8,60.04,-5.96,97.22
12:00:56 AM,59.5,975.9,278.3,-3.2,4.4,3,-6.8,54.5,3.5,151.54,74.62,-4.8,-999.6,-96.8,-105.8,1.4,1,0.6,49.7,-17.3,-4.1,60.04,-5.96,97.2
12:00:57 AM,62.6,973.4,279.9,-3.4,4.4,2.7,-6.2,54.3,3.2,151.54,74.62,-4.82,-998.4,-97,-110,1.8,1,0.7,49.1,-16.4,-4.2,60.06,-5.94,97.18
12:00:58 AM,61.5,967.4,279.4,-3.5,4.5,2.7,-6.8,54.6,2.9,151.38,74.62,-4.96,-996.6,-97.4,-110.8,0.3,1.1,0.7,49.7,-17.1,-3.9,60.06,-5.94,97.22
12:00:59 AM,62.6,970.3,276.2,-3.3,4.6,3,-6.5,54.3,3,151.3,74.6,-5.04,-994.8,-99.8,-109.7,-0.3,0.8,0,49.1,-17.3,-3.9,60.06,-5.94,97.2
12:01:00 AM,65,970.8,271.5,-3.5,4.7,3,-6.3,54.3,3,151.4,74.62,-4.92,-989.1,-99.6,-106.1,1.6,1.2,0.6,49.1,-17.1,-3.6,60.06,-5.94,97.2
12:01:01 AM,62.4,973.8,274.6,-3.7,4.4,2.8,-5.6,54,2.9,151.38,74.62,-4.94,-995.5,-101.4,-105.3,1.2,1,0.8,49.7,-16.8,-4.1,60.06,-5.92,97.18
12:01:02 AM,64.7,974.4,278.8,-3.9,4.7,2.8,-6.3,54.3,2.6,151.5,74.64,-4.8,-999.3,-100.5,-109.9,0.6,1.8,1,49.4,-17.4,-3.3,60.08,-5.94,97.22
12:01:03 AM,63.7,975.5,276.1,-3.9,4.8,2.7,-6.3,54.5,3,151.56,74.64,-4.76,-998.3,-99.1,-110,0.7,1.5,0.9,49.4,-17,-4.1,60.04,-5.94,97.24
12:01:04 AM,60.3,970.1,277,-3.6,4.5,2.8,-6.6,54.3,3,151.52,74.64,-4.8,-994.8,-100.5,-106.7,1.2,1.4,0.8,49.7,-17.3,-4.2,60.04,-5.94,97.24
12:01:05 AM,65.1,965.8,277.1,-3.5,4.7,3.1,-6.6,54.3,3.9,151.38,74.64,-4.94,-989.8,-99.7,-109,2.5,1.4,0.2,50,-17.1,-4.1,60.04,-5.96,97.24
12:01:06 AM,64.7,963,271.6,-3.2,4.5,3.3,-6.3,54.5,3,151.54,74.64,-4.78,-984.7,-103.6,-105.6,0.6,1.2,-0.7,49.2,-17.1,-4.1,60.04,-5.96,97.24
12:01:07 AM,68.4,960.8,268.8,-3.2,4.6,3.5,-5.9,53.9,3.3,151.58,74.64,-4.76,-982.1,-107.1,-106.3,1.7,0.9,-0.4,49.2,-17.6,-4.2,60.04,-5.94,97.22
12:01:08 AM,65.8,964.7,268.6,-3.4,4.5,3,-6,54.3,2.9,151.52,74.64,-4.82,-985.8,-106,-105.8,-0.5,1,0.3,49.5,-16.7,-4.2,60,-5.96,97.24
12:01:09 AM,69.2,962.2,271.7,-3.8,4.8,2.7,-6.5,54.3,2.7,151.4,74.62,-4.92,-984.9,-102.7,-108.8,0.8,1.2,0.7,49.4,-17,-3.8,59.98,-5.98,97.26
12:01:10 AM,70.1,961.7,271.6,-4,4.8,2.8,-5.9,54.6,3.3,151.44,74.64,-4.88,-986.4,-102.1,-108,2.1,2.1,0.7,49.2,-16.8,-4.4,60,-5.96,97.24
12:01:11 AM,67,964.8,270.1,-3.8,4.8,2.9,-6.2,54.3,3.5,151.58,74.66,-4.76,-987.8,-103.4,-106.6,2.4,1.8,0.6,49.8,-17.3,-3.8,60,-5.94,97.2
12:01:12 AM,68.6,964.3,269.5,-3.8,4.6,3,-6.5,54,4.1,151.58,74.66,-4.76,-985.5,-102.4,-106.8,1.6,1.8,0.4,49.1,-17.6,-4.1,60,-5.94,97.2
12:01:13 AM,66.4,964.3,272.4,-3.5,4.6,3.1,-6.8,53.9,3.2,151.56,74.66,-4.78,-986.2,-102,-107.2,1.8,1.5,0.2,49.4,-16.7,-3.8,60,-5.94,97.22
12:01:14 AM,67.8,962.4,274.8,-3.4,4.6,3.1,-6.6,53.9,2.7,151.42,74.64,-4.9,-987,-100.3,-107.7,0.8,1.3,0.1,48.9,-17.3,-3.9,60.02,-5.92,97.2
12:01:15 AM,63.7,965.9,270.8,-3.6,4.7,3.1,-6.3,53.6,2.9,151.38,74.64,-4.94,-987.7,-103.1,-107.5,1.4,1.5,-0.2,49.8,-17.6,-3.6,59.98,-5.92,97.2
12:01:16 AM,69.1,961.3,273.1,-3.7,4.6,3,-6.2,54,3.6,151.34,74.64,-4.98,-985.3,-102.2,-108.2,1,1.7,0.7,49.1,-17.3,-4.5,60,-5.96,97.22
12:01:17 AM,70.5,960.6,272.2,-3.8,4.9,3.1,-6.2,54.6,3,151.44,74.64,-4.88,-983.9,-100.2,-107.5,0.3,1.7,0.3,49.8,-17,-3.9,60,-5.94,97.22
12:01:18 AM,69.6,962.5,271,-3.5,4.7,2.8,-5.9,54,2,151.44,74.64,-4.88,-985.8,-102.7,-108.3,2.2,1.5,0.5,49.2,-17.3,-3.9,59.98,-5.92,97.2
12:01:19 AM,67.8,969.5,270.9,-4.1,5,2.6,-6.5,54.5,3,151.42,74.64,-4.9,-989,-102.7,-108.2,3,2,0.8,49.2,-17,-3.8,59.98,-5.92,97.2
12:01:20 AM,67.2,968.4,274.7,-4.5,5.1,2.3,-6.8,54,3,151.4,74.64,-4.94,-991.2,-101.9,-107.7,2,1.9,1.7,49.2,-16.8,-3.8,60,-5.94,97.22
12:01:21 AM,69.4,973,271.9,-4.6,5.2,2.2,-6,54.5,2.7,151.32,74.62,-5,-992.3,-98.5,-107.2,4.3,2.6,1.8,49.7,-16.7,-3.8,60,-5.96,97.22
12:01:22 AM,68.5,970.3,278.5,-4.9,5.1,1.9,-6,54.2,3.3,151.36,74.64,-4.96,-996.1,-93.9,-110.5,2.7,2.5,2.6,49.5,-17.3,-3.9,60.02,-5.96,97.24
12:01:23 AM,64.2,972.2,281.2,-4.8,5.2,2.2,-6.2,54.3,3,151.4,74.64,-4.92,-996.8,-89.2,-109.7,1.5,2.7,1.7,49.7,-16.8,-4.2,60.02,-5.94,97.22
12:01:24 AM,62.7,967,281,-4,4.7,2.8,-6.8,55.2,3.5,151.52,74.64,-4.82,-992.9,-90.2,-110.2,-0.2,1.6,0.4,49.1,-17.1,-4.2,60,-5.92,97.22
12:01:25 AM,66.9,966.1,281.8,-3.9,4.8,3,-6.6,54.3,2.6,151.52,74.64,-4.82,-993.9,-88.9,-112.1,0.9,1.9,0.3,48.9,-16.8,-3.6,60.02,-5.92,97.2
12:01:26 AM,60.7,968.1,280.7,-3.8,4.6,2.9,-6.8,54.8,3.5,151.44,74.64,-4.88,-997.4,-89.8,-110.2,0.4,1.4,0.4,50,-17.1,-4.1,59.98,-5.92,97.22
12:01:27 AM,63.3,968,279,-3.6,4.5,2.7,-6.6,54.2,3,151.58,74.64,-4.78,-994.7,-89.8,-111.5,1.7,1.4,0.2,49.2,-17.1,-3.5,59.98,-5.96,97.26
12:01:28 AM,67.8,967.3,281,-4.1,5,2.6,-6.5,54.5,3.2,151.48,74.64,-4.86,-992,-89.9,-111.4,1.4,2,1,49.5,-17,-3.8,60.02,-5.96,97.24
12:01:29 AM,70.3,973.9,276.3,-4.5,5.1,2.5,-6.2,54.6,3.3,151.56,74.66,-4.82,-996.6,-91.9,-107.5,2.1,2.7,1.6,49.8,-16.7,-4.2,60,-5.96,97.22
12:01:30 AM,64,977.2,279.3,-4.6,5.1,2.1,-6.2,54,3.3,151.6,74.66,-4.78,-999.4,-88.1,-110.2,2.4,2.3,1.7,49.4,-17.1,-4.4,60,-5.92,97.18
12:01:31 AM,59.7,968.1,286.2,-4.2,4.9,2.3,-6.2,54,2.9,151.58,74.64,-4.8,-998.4,-79.5,-114.1,0.3,1.5,1,48.9,-17.1,-3.9,60.02,-5.92,97.2
12:01:32 AM,60.5,966.5,285.4,-3.8,4.6,2.9,-6.9,54.6,3,151.46,74.62,-4.9,-995.5,-85.3,-111.3,1.8,1.5,0.4,49.7,-17,-4.1,60.02,-5.9,97.18
12:01:33 AM,63.9,965.8,283.5,-3.8,4.3,2.7,-6,54.9,3.3,151.52,74.62,-4.84,-996.7,-85.5,-113.8,0.5,1.9,0.5,49.4,-17.3,-4.4,60.04,-5.88,97.16
12:01:34 AM,64.4,968.9,278.7,-3.5,4.8,2.9,-6.2,54.2,3,151.66,74.66,-4.74,-995.3,-87.4,-110.6,2.3,1.7,0.5,49.4,-17.4,-3.6,60.02,-5.92,97.2
12:01:35 AM,65.5,967.3,277.2,-3.5,4.6,3.1,-6.3,54.3,3,151.6,74.64,-4.8,-990.7,-88.9,-108.1,0.9,1.7,0.1,49.8,-16.8,-3.6,60.02,-5.94,97.24
12:01:36 AM,66.9,957.6,277.1,-3.6,4.6,3.1,-6.6,54.5,3.2,151.74,74.64,-4.66,-984.1,-90.3,-111.2,0,1.3,-0.3,49.2,-17.3,-3.6,60,-5.94,97.24
12:01:37 AM,64.2,964,273.6,-3.1,4.4,3.2,-5.7,53.7,3,151.62,74.64,-4.78,-985.9,-91.3,-104.6,0,0.9,-0.6,48.9,-17,-3.8,59.98,-5.94,97.24
12:01:38 AM,70.9,961.1,280.8,-3.6,4.4,2.9,-6,53.7,3.3,151.58,74.64,-4.8,-989.3,-90.6,-110.1,0.3,1.4,0.6,49.4,-17,-3.9,60,-5.94,97.22
12:01:39 AM,64.5,956.8,280.8,-3.5,4.9,3,-6.6,54.3,3.2,151.62,74.64,-4.78,-987.7,-85.2,-111.3,1.3,1.3,0.2,49.5,-17,-3.6,60,-5.92,97.22
12:01:40 AM,64.7,958.4,279.9,-3.1,4.5,3.3,-6.6,54.5,2.6,151.44,74.62,-4.94,-985.6,-89.9,-110.6,0.5,0.7,-0.4,49.2,-17,-4.1,60.02,-5.9,97.2
12:01:41 AM,68.1,957.2,276.9,-3,4.6,3.4,-6.5,54.6,2.6,151.46,74.62,-4.92,-984.5,-90.7,-109.4,-0.3,0.9,-0.5,49.8,-17.3,-3.6,60,-5.94,97.22
12:01:42 AM,64.7,960.2,274.1,-2.7,3.9,3.5,-6,54.5,3.3,151.46,74.62,-4.9,-985,-90.4,-106.9,-0.6,0.5,-1,50.4,-17.3,-4.4,60,-5.92,97.2
12:01:43 AM,66.9,952.1,280,-2.5,4.2,3.7,-6.3,54.2,2.6,151.36,74.6,-5,-981.6,-87.8,-112,-0.8,0.3,-1.1,48.9,-16.5,-3.9,60.02,-5.9,97.18
12:01:44 AM,62.6,955.5,275.8,-2.3,4,3.8,-6.2,54,3.5,151.34,74.6,-5.02,-982.4,-87.8,-107.9,-0.7,0,-1.3,49.5,-17.7,-3.9,59.98,-5.9,97.22
12:01:45 AM,67.9,957.2,275.5,-2.6,4.2,3.9,-6,54.5,3.5,151.3,74.6,-5.04,-985.4,-89.2,-109.6,-0.2,0.4,-0.9,49.4,-16.7,-3.8,60.02,-5.9,97.2
12:01:46 AM,70,955.8,274.7,-2.9,4.2,3.5,-6.2,54.3,3.2,151.5,74.62,-4.86,-983,-91.7,-106.7,0.2,0.7,-0.5,49.2,-16.8,-4.1,60.04,-5.92,97.2
12:01:47 AM,69.1,960.3,272.1,-2.7,4.2,3.4,-6,54.3,3.6,151.6,74.64,-4.74,-982.8,-92.1,-106.4,0.5,0.8,-0.7,49.2,-17,-3.6,60.02,-5.94,97.22
12:01:48 AM,67.2,964.4,272.1,-2.8,4.3,3.4,-6.2,54.3,2.7,151.56,74.64,-4.8,-985.5,-93.6,-106.4,-0.7,0.8,-0.1,49.8,-17.4,-3.6,60,-5.94,97.22
12:01:49 AM,68.9,962.4,275.5,-3.1,4.3,3.1,-6.5,54.2,3,151.5,74.64,-4.86,-988.2,-92.1,-107.2,0.1,0.9,0.5,49.1,-17,-4.1,60.02,-5.96,97.24
12:01:50 AM,64.4,968.3,276.9,-3.1,4.3,2.9,-6.5,54.2,3,151.44,74.62,-4.92,-991.4,-89,-107.3,1.8,0.8,0.2,49.5,-16.5,-3.6,60.02,-5.9,97.2
12:01:51 AM,66,969.4,278,-3.1,4.4,3.1,-5.6,54.2,3.6,151.56,74.64,-4.8,-995.6,-91,-106.4,1.6,1.2,0.5,49.5,-16.5,-3.9,60.04,-5.9,97.18
12:01:52 AM,66.3,969.6,276.7,-3.2,4.2,2.7,-6.3,54.3,2.7,151.56,74.64,-4.8,-993,-88.7,-109.6,-0.3,1.1,0.7,49.2,-17.6,-4.2,60.02,-5.94,97.24
12:01:53 AM,66.2,967,276.1,-3,4.5,3.1,-5.9,54.2,3.2,151.6,74.64,-4.76,-989.5,-91.1,-107.4,0.4,0.9,0.5,50,-17,-4.2,60.02,-5.94,97.22
12:01:54 AM,68.6,967.3,273.2,-3,4.2,3.1,-6.5,54.8,2.4,151.46,74.64,-4.88,-989.2,-92.8,-106.9,1.6,1.1,0.8,48.8,-17.6,-3.9,60,-5.94,97.22
12:01:55 AM,68,968.4,273.2,-3.6,4.6,2.8,-6.8,54.5,3.6,151.44,74.64,-4.92,-992.1,-90.8,-108,0.5,1.2,1.2,49.2,-17.4,-3.5,60,-5.96,97.24
12:01:56 AM,67.8,972.3,273.1,-3.7,4.6,2.7,-6.3,54.3,3,151.54,74.64,-4.82,-994.6,-88.9,-107,1.5,1.9,1.4,49.5,-17.6,-3.8,60,-5.96,97.22
12:01:57 AM,71.1,973.4,271.1,-4.1,4.6,2.1,-6,54,3.2,151.34,74.68,-5.02,-993,-98,-105.3,3,1.9,2.6,49.1,-17.4,-3.9,59.98,-6.02,97.24
12:01:58 AM,72.2,974.7,267.1,-4.6,4.8,2,-6.2,54.3,3.2,151.16,74.66,-5.18,-993,-100.4,-104.4,4.9,2.8,3.2,49.5,-17.1,-3.8,59.98,-5.98,97.2
12:01:59 AM,70.9,974.2,270.4,-4.7,4.9,1.7,-6.8,53.3,3.5,151.06,74.64,-5.28,-996.7,-96,-107.2,2.3,2.7,3.5,49.1,-16.8,-3.8,60,-5.96,97.22
12:02:00 AM,67.3,968.9,277.4,-4.5,4.8,2,-5.9,54.2,3.5,151.22,74.64,-5.1,-993.5,-91.9,-109.4,1.8,2.4,3,49.2,-16.7,-3.6,60.04,-5.92,97.18
12:02:01 AM,63.9,965.6,275.5,-3.7,4.4,2.5,-6.9,54.8,3.2,151.34,74.64,-4.98,-991.1,-89.1,-106.9,3.1,1.4,1.5,50.1,-18,-3.6,60.02,-5.92,97.2
12:02:02 AM,65.6,966.1,274,-3.2,4.3,3.1,-6.2,54,3.2,151.26,74.62,-5.04,-991.2,-92.5,-104.6,0.3,1.1,0.8,49.4,-17.4,-3.9,60.02,-5.94,97.2
12:02:03 AM,69.7,971.2,271.2,-3.8,4.7,2.9,-6.8,54,2.9,151.26,74.64,-5.06,-991.1,-96.3,-106.3,0.3,1.6,1.6,49.1,-16.8,-4.5,60.02,-5.94,97.2
